Question,Answer1,Answer2,Answer3,Answer4,Image,Answer
แบตเตอรี่ควรมีฉนวนหุ้มที่ขั้วแบตเตอรี่ขั้วใด,ขั้วบวก,ขั้วลบ,ไม่จำเป็นต้องมีฉนวนหุ้ม,หุ้มทั้งสองขั้ว,-,1
สาเหตุไฟไม่ชาร์จเข้าแบตเตอรี่เกิดจากอะไร,เปิดเครื่องเสียงมากเกินไป,ฉนวนหุ้มขั้วแบตเตอรี่หลุด,เปิดสัญญาณไฟเลี้ยวมากเกินไป,ไดชาร์จชำรุดหรือสายพานไดชาร์จหย่อนหรือขาด,-,4
สาเหตุรถสตาร์ทไม่ติดเกิดจากสาเหตุใด,กรองอากาศตัน,น้ำมันเบรกหมด,น้ำในหม้อน้ำแห้ง,แบตเตอรี่ไม่มีไฟ,-,4
การตรวจเช็กแบตเตอรี่แบบง่ายๆว่ามีไฟปกติหรือไม่ กระทำได้อย่างไร,บีบแตรและฟังเสียงว่าปกติหรือเบาลง,ออกรถ 2-3 เมตรแล้วทดสอบเบรก,เหยียบคลัตช์และเข้าเกียร์ให้ครบ,หมุนพวงมาลัยไปด้านซ้ายและขวา,-,1
ผู้ขับขี่ควรใช้สัญญาณไฟฉุกเฉินเมื่อใด,เมื่อมีหมอก ฝน ฝุ่น ควัน ในทางเดินรถ,เมื่อขับรถผ่านทางร่วมทางแยก,เมื่อจะกลับรถหรือเปลี่ยนช่องทางเดินรถ,เมื่อรถเสียหรือเกิดอุบัติเหตุ,-,4
ถ้าขั้วแบตเตอรี่มีคราบขี้เกลือวิธีการใดเป็นการแก้ไขที่ดีที่สุด,ใช้น้ำอุ่นล้างและทาจาระบี,ใช้น้ำส้มสายชูล้าง,ใช้น้ำมะนาวล้าง,ใช้น้ำกลั่นล้าง,-,1
ในการถอดขั้วแบตเตอรี่ควรถอดขั้วใดก่อน,ขั้วไหนก่อนก็ได้,ขั้วบวก,ทั้งสองขั้วพร้อมกัน,ขั้วลบ,-,3
น้ำที่ใช้เติมในแบตเตอรี่ควรใช้น้ำชนิดใด,น้ำกลั่น,น้ำฝน,น้ำบาดาล,น้ำสบู่,-,1
การเติมน้ำกลั่นกวรให้อยู่ระดับใดของแบตเตอรี่,ให้อยู่ระหว่างขีดที่กำหนด,เติมให้อยู่ระดับขีดต่ำกว่าที่กำหนดเล็กน้อย,เติมให้อยู่ระดับสูงกว่าที่กำหนดเล็กน้อย,เติมจนล้นแล้วปิดฝา,-,1
ขณะขับรถไฟเตือนสีใดไม่ควรแสดงอยู่บนแผงหน้าปัด,สีเขียว, สีเหลือง,สีแดง,สีน้ำเงิน,-,3
คราบขี้เกลือที่ขั้วแบตเตอรี่เกิดจากสาเหตุใด,ฝุ่นละอองไปเกาะ,น้ำกรดทำปฏิกิริยากับอากาศ,น้ำไปโดนที่ขั้วแบตเตอรี่,ฉนวนหุ้มขั้วแบตเตอรี่สกปรก,-,2
แบตเตอรี่รถยนต์มีหน้าที่อย่างไร,เก็บรักษาไฟฟ้าและจ่ายกระแสไฟ,ใช้เวลาดับเครื่องยนต์,ตัดกระแสไฟ,ทำหน้าที่ผลิตไฟฟ้าในรถยนต์,-,1
แบตเตอรี่รถยนต์จะมีขนาดแรงดันไฟฟ้ากี่โวลท์,12 โวลท์,15 โวลท์,24 โวลท์,220 โวลท์,-,1
ไดสตาร์ททำหน้าที่อะไร,ทำให้หมุนพวงมาลัยได้ดี,ทำให้เครื่องยนต์ติด,ทำให้ระบบเบรกทำงานดีขึ้น,ทำให้แอร์ในรถเย็นขึ้น,-,2
ข้อใดคือความตึงของสายพานพัดลมและไดชาร์ทที่ถูกต้อง,5-15 มิลลิเมตร,20-25 มิลลิเมตร,25-30 มิลลิเมตร,30-35 มิลลิเมตร,-,1
ขณะขับรถไปได้ระยะหนึ่งปรากฎว่าไฟเตือนสีแดง แสดงเกิดจากสาเหตุใด,ไดชาร์ทชำรุด,แบตเตอรี่เสีย,แบตเตอรี่ใกล้หมดอายุ,น้ำกลั่นแห้ง,-,1
การเดิมน้ำกลั่นแบตเตอรี่ควรเดิมให้ท่วมแผ่นธาตุประมาณเท่าไร,1 นิ้ว,2 นิ้ว,3 นิ้ว,4 นิ้ว,-,1
ไดชาร์จทำหน้าที่อะไร,ทำหน้าที่สตาร์ทเครื่องยนต์,ทำหน้าที่ผลิตไฟฟ้าในรถยนต์,ทำหน้าที่ดับเครื่องยนต์,ทำหน้าที่เช็กอุณหภูมิความร้อนในรถยนต์,-,2
ท่านควรเติมน้ำมันเชื้อเพลิงรถเครื่องยนต์เบนชินอย่างไร,เติมค่าที่ต่ำกว่าค่าที่กำหนดเพื่อความประหยัด,เติมสูงกว่าค่าที่กำหนดเพื่อป้องกันเครื่องยนต์เสียหาย,เติมน้ำมันที่มีค่าออกเทนตามที่ระบุไว้ในคู่มือรถ,เติมค่าเท่าใดก็ได้ตามความสะดวก,-,3
น้ำมันแก๊สโซฮอล์ มีความหมายอย่างไร,น้ำมันที่มีส่วนผสมของเอทานอล,น้ำมันที่มีส่วนผสมของสารตะกั่ว,น้ำมันที่ได้จากพืช 100 เปอร์เซ็นต์,น้ำมันที่มีส่วนผสมของน้ำมันหล่อลื่น,-,1
น้ำมันแก๊สโซฮอล์ที่มีจำหน่ายในประเทศไทยมีค่าออกเทนสูงสุดเท่าใด,ค่าออกเทน 98,ค่าออกเทน 95,ค่าออกเทน 91,ค่าออกเทน 87,-,2
ในการตรวจเช็กน้ำมันเชื้อเพลิงในห้องเครื่องยนต์ เราควรตรวจสิ่งใดเป็นหลัก,การเผาไหม้ของเครื่องยนต์,การปลอมปนของน้ำมัน,สภาพของท่อน้ำมันและรอยรั่วซึม,ปริมาณน้ำมันเชื้อเพลิง,-,3
หากท่านเติมน้ำมันผิดประเภทควรปฏิบัติอย่างไร,เดิมชนิดที่ถูกเข้าไปเพื่อทำให้เจือจาง,ขับไปให้หมดถังแล้วเติมชนิดที่ถูกเข้าไป,ทำการเปลี่ยนถ่ายออกทันที,ขับไปถ้ามีผลต่อเครื่องยนต์ค่อยถ่ายออก,-,3
หากท่านตรวจพบว่าท่อน้ำมันเริ่มมีรอยน้ำมันซึมออก มาท่านควรทำอย่างไร,สลับท่อไปไว้ในท่อแรงดันต่ำ,ใช้เทปรัดให้แน่นขึ้น,ใช้ไปได้จนกว่าจะมีรอยหยดของน้ำมัน,ทำการเปลี่ยนท่อใหม่,-,4
หากรถของท่านเกิดท่อน้ำมันรั่วท่านควรทำอย่างไร,ดับเครื่องยนด์และไม่ควรขับรถต่อไปเนื่องจาก อาจเกิดไฟใหม้ได้,ขับไปหาศูนย์บริการเพื่อทำการซ่อม,ใช้เทบรัดและขับไปหาช่าง,นำขวดมารองน้ำมันที่รั่วและขับต่อไป,-,1
ข้อใดกล่าวถูกต้อง,ไม่ควรเติมน้ำมันหล่อลื่นลงไปผสมในน้ำมันเชื้อเพลิง,การเติมน้ำมันควรเติมในช่วงกลางวัน,เราไม่สามารถเติมน้ำมันค่าออกเทน 95 แทนออกเทน 91 ได้,น้ำมันที่แพงคือน้ำมันที่ดีที่สุด,-,1
เครื่องยนต์เบนซินกับเครื่องยนต์ดีเซลมีข้อแตกต่างอย่างไร,มีระบบการสตาร์ทต่างกัน,มีระบบการใช้น้ำระบายความร้อนต่างกัน,เครื่องยนต์เบนซินใช้หัวเทียนในการจุดระเบิด,มีระบบไฟต่างกัน,-,3
ในกรณีที่รถให้ใช้น้ำมันออกเทน 95 เท่านั้นถ้าหากเราเติม น้ำมันค่าออกเทน 91 จะมีผลอย่างไร,ใช้งานได้ตามปกติ,เครื่องยนต์เกิดการสะดุด (น๊อก),เครื่องยนต์พังทันทีหากใช้งาน,ไม่มีผลต่อการใช้งาน,-,2
ในกรณีที่เดิมน้ำมันที่มีก่ออกเทนสูงกว่าในคู่มือการใช้จะมีผลอย่างไร,เครื่องยนต์ร้อนขึ้นกว่าเดิม,ไม่มีผลต่อการใช้งาน,เครื่องยนต์สึกหรอกว่าปกติ,รอบเครื่องยนต์สูงขึ้นกว่าปกติ,-,2
น้ำมันเชื้อเพลิงในข้อใดมีการระเหยเร็วมากที่สุด,น้ำมัน E85,น้ำมัน E20,น้ำมันแก๊สโซฮอล์ 95,น้ำมัน 95,-,1
